"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"227061_at",1.63373900744373,8.88552346134044,6.79716367374379,7.48548400366355e-10,6.98572689494322e-09,12.0584634976791
"228729_at",1.49769652701106,7.69440618801575,6.79685147072578,7.49662854733688e-10,6.99373718578252e-09,12.0570100831532
"214285_at",-1.25097777284855,7.42660459936436,-6.79566594286243,7.53909746342422e-10,7.03215593116972e-09,12.0514912578576
"228426_at",1.2883368205822,6.44065828586754,6.7949351417343,7.56539533071822e-10,7.05427582715578e-09,12.0480894352253
"208439_s_at",-1.41566643662985,6.27204973704708,-6.7944590246428,7.58257721382666e-10,7.06788341660207e-09,12.0458732191491
"205046_at",2.08992784748984,7.10003589060335,6.79418608398917,7.59244437247299e-10,7.07466583371212e-09,12.0446027685404
"210108_at",-1.38918748252306,7.52815057118041,-6.79233967368032,7.6595290492234e-10,7.13352421495971e-09,12.0360088160392
"1563169_at",-1.91943646650365,5.38090097309601,-6.7919795288271,7.67268220851075e-10,7.14333776770197e-09,12.0343326536657
"244823_at",1.57018265583522,7.07224857199266,6.79181289847822,7.67877541952222e-10,7.14779209112607e-09,12.0335571447364
"238521_at",-1.98281040521206,9.40587336591385,-6.78985135888756,7.75086447813585e-10,7.21366669639457e-09,12.0244285312744
"1569153_at",-1.11728397992459,4.95092070713321,-6.78927486856674,7.77217828153134e-10,7.2310387136162e-09,12.0217458444289
"239188_at",1.23080820398297,7.1639841929128,6.78752343607491,7.83728806403087e-10,7.29037324205276e-09,12.0135960992789
"206382_s_at",-2.32756258272101,7.02199401668606,-6.78696093991505,7.85831324076173e-10,7.30868632523366e-09,12.010978862559
"212256_at",1.10383012871794,10.0768061791504,6.78586886947636,7.89929253511321e-10,7.34304788459809e-09,12.0058977987793
"203588_s_at",1.34342948225137,7.55840182302981,6.78094598722501,8.08666157637123e-10,7.50444942515483e-09,11.982996892637
"1554795_a_at",1.84844178010692,6.35881853416836,6.78066661834588,8.09742547811123e-10,7.51316169955978e-09,11.9816974713887
"220466_at",1.0702648668512,7.62658530763028,6.78015493062498,8.11717725191881e-10,7.53020895632821e-09,11.9793175226273
"226494_at",-2.17653900079461,5.5163959202014,-6.77915953370972,8.15573747599608e-10,7.56212717787052e-09,11.9746879475859
"223693_s_at",1.18622004495321,7.41893987531351,6.77865246261881,8.17545030215129e-10,7.57783210032906e-09,11.972329664355
"209530_at",-1.81543171886428,8.11417839730672,-6.77841849685173,8.18456181221695e-10,7.5838225475674e-09,11.97124155966
"235129_at",-1.88199950682248,7.06478833371633,-6.77778649714308,8.20922452922594e-10,7.60268575910829e-09,11.968302387518
